id,name,H,A,B,C,D,S,T
61,ニョロゾ,65,65,65,50,50,90,385
62,ニョロボン,90,95,95,70,90,70,510
63,ケーシィ,25,20,15,105,55,90,310
64,ユンゲラー,40,35,30,120,70,105,400
65,フーディン,55,50,45,135,95,120,500
66,ワンリキー,70,80,50,35,35,35,305
67,ゴーリキー,80,100,70,50,60,45,405
68,カイリキー,90,130,80,65,85,55,505
72,メノクラゲ,40,40,35,50,100,70,335
73,ドククラゲ,80,70,65,80,120,100,515
77,ポニータ,50,85,55,65,65,90,410
77,ポニータ(ガラルのすがた),50,85,55,65,65,90,410
78,ギャロップ,65,100,70,80,80,105,500
78,ギャロップ(ガラルのすがた),65,100,70,80,80,105,500
79,ヤドン,90,65,65,40,40,15,315
79,ヤドン(ガラルのすがた),90,65,65,40,40,15,315
80,ヤドラン,95,75,110,100,80,30,490
80,ヤドラン(ガラルのすがた),95,100,95,100,70,30,490
81,コイル,25,35,70,95,55,45,325
82,レアコイル,50,60,95,120,70,70,465
83,カモネギ,52,90,55,58,62,60,377
83,カモネギ(ガラルのすがた),52,95,55,58,62,55,377
90,シェルダー,30,65,100,45,25,40,305
91,パルシェン,50,95,180,85,45,70,525
92,ゴース,30,35,30,100,35,80,310
93,ゴースト,45,50,45,115,55,95,405
94,ゲンガー,60,65,60,130,75,110,500
95,イワーク,35,45,160,30,45,70,385
98,クラブ,30,105,90,25,25,50,325
99,キングラー,55,130,115,50,50,75,475
102,タマタマ,60,40,80,60,45,40,325
103,ナッシー,95,95,85,125,75,55,530
103,ナッシー(アローラのすがた),95,105,85,125,75,45,530
104,カラカラ,50,50,95,40,50,35,320
105,ガラガラ,60,80,110,50,80,45,425
105,ガラガラ(アローラのすがた),60,80,110,50,80,45,425
106,サワムラー,50,120,53,35,110,87,455
107,エビワラー,50,105,79,35,110,76,455
108,ベロリンガ,90,55,75,60,75,30,385
109,ドガース,40,65,95,60,45,35,340
110,マタドガス,65,90,120,85,70,60,490
110,マタドガス(ガラルのすがた),65,90,120,85,70,60,490
111,サイホーン,80,85,95,30,30,25,345
112,サイドン,105,130,120,45,45,40,485
113,ラッキー,250,5,5,35,105,50,450
114,モンジャラ,65,55,115,100,40,60,435
115,ガルーラ,105,95,80,40,80,90,490
116,タッツー,30,40,70,70,25,60,295
117,シードラ,55,65,95,95,45,85,440
118,トサキント,45,67,60,35,50,63,320
119,アズマオウ,80,92,65,65,80,68,450
120,ヒトデマン,30,45,55,70,55,85,340
121,スターミー,60,75,85,100,85,115,520
122,バリヤード,40,45,65,100,120,90,460
122,バリヤード(ガラルのすがた),50,65,65,90,90,100,460
123,ストライク,70,110,80,55,80,105,500
124,ルージュラ,65,50,35,115,95,95,455
125,エレブー,65,83,57,95,85,105,490
126,ブーバー,65,95,57,100,85,93,495
127,カイロス,65,125,100,55,70,85,500
128,ケンタロス,75,100,95,40,70,110,490
129,コイキング,20,10,55,15,20,80,200
130,ギャラドス,95,125,79,60,100,81,540
131,ラプラス,130,85,80,85,95,60,535
132,メタモン,48,48,48,48,48,48,288
133,イーブイ,55,55,50,45,65,55,325
134,シャワーズ,130,65,60,110,95,65,525
135,サンダース,65,65,60,110,95,130,525
136,ブースター,65,130,60,95,110,65,525
137,ポリゴン,65,60,70,85,75,40,395
138,オムナイト,35,40,100,90,55,35,355
139,オムスター,70,60,125,115,70,55,495
140,カブト,30,80,90,55,45,55,355
141,カブトプス,60,115,105,65,70,80,495
142,プテラ,80,105,65,60,75,130,515
143,カビゴン,160,110,65,65,110,30,540
144,フリーザー,90,85,100,95,125,85,580
144,フリーザー(ガラルのすがた),90,85,85,125,100,95,580
145,サンダー,90,90,85,125,90,100,580
145,サンダー(ガラルのすがた),90,125,90,85,90,100,580
146,ファイヤー,90,100,90,125,85,90,580
146,ファイヤー(ガラルのすがた),90,85,90,100,125,90,580
147,ミニリュウ,41,64,45,50,50,50,300
148,ハクリュー,61,84,65,70,70,70,420
149,カイリュー,91,134,95,100,100,80,600
150,ミュウツー,106,110,90,154,90,130,680
151,ミュウ,100,100,100,100,100,100,600
163,ホーホー,60,30,30,36,56,50,262
164,ヨルノズク,100,50,50,86,96,70,452
169,クロバット,85,90,80,70,80,130,535
170,チョンチー,75,38,38,56,56,67,330
171,ランターン,125,58,58,76,76,67,460
172,ピチュー,20,40,15,35,35,60,205
173,ピィ,50,25,28,45,55,15,218
174,ププリン,90,30,15,40,20,15,210
175,トゲピー,35,20,65,40,65,20,245
176,トゲチック,55,40,85,80,105,40,405
177,ネイティ,40,50,45,70,45,70,320
178,ネイティオ,65,75,70,95,70,95,470
182,キレイハナ,75,80,95,90,100,50,490
183,マリル,70,20,50,20,50,40,250
184,マリルリ,100,50,80,60,80,50,420
185,ウソッキー,70,100,115,30,65,30,410
186,ニョロトノ,90,75,75,90,100,70,500
194,ウパー,55,45,45,25,25,15,210
195,ヌオー,95,85,85,65,65,35,430
196,エーフィ,65,65,60,130,95,110,525
197,ブラッキー,95,65,110,60,130,65,525
199,ヤドキング,95,75,80,100,110,30,490
199,ヤドキング(ガラルのすがた),95,65,80,110,110,30,490
202,ソーナンス,190,33,58,33,58,33,405
206,ノコッチ,100,70,70,65,65,45,415
208,ハガネール,75,85,200,55,65,30,510
211,ハリーセン,65,95,85,55,55,85,440
212,ハッサム,70,130,100,55,80,65,500
213,ツボツボ,20,10,230,10,230,5,505
214,ヘラクロス,80,125,75,40,95,85,500
215,ニューラ,55,95,55,35,75,115,430
220,ウリムー,50,50,40,30,30,50,250
221,イノムー,100,100,80,60,60,50,450
222,サニーゴ,65,55,95,65,95,35,410
222,サニーゴ(ガラルのすがた),60,55,100,65,100,30,410
223,テッポウオ,35,65,35,65,35,65,300
224,オクタン,75,105,75,105,75,45,480
225,デリバード,45,55,45,65,45,75,330
226,マンタイン,85,40,70,80,140,70,485
227,エアームド,65,80,140,40,70,70,465
230,キングドラ,75,95,95,95,95,85,540
233,ポリゴン2,85,80,90,105,95,60,515
236,バルキー,35,35,35,35,35,35,210
237,カポエラー,50,95,95,35,110,70,455
238,ムチュール,45,30,15,85,65,65,305
239,エレキッド,45,63,37,65,55,95,360
240,ブビィ,45,75,37,70,55,83,365
241,ミルタンク,95,80,105,40,70,100,490
242,ハピナス,255,10,10,75,135,55,540
243,ライコウ,90,85,75,115,100,115,580
244,エンテイ,115,115,85,90,75,100,580
245,スイクン,100,75,115,90,115,85,580
246,ヨーギラス,50,64,50,45,50,41,300
247,サナギラス,70,84,70,65,70,51,410
248,バンギラス,100,134,110,95,100,61,600
249,ルギア,106,90,130,90,154,110,680
250,ホウオウ,106,130,90,110,154,90,680
251,セレビィ,100,100,100,100,100,100,600
252,キモリ,40,45,35,65,55,70,310
253,ジュプトル,50,65,45,85,65,95,405
254,ジュカイン,70,85,65,105,85,120,530
255,アチャモ,45,60,40,70,50,45,310
256,ワカシャモ,60,85,60,85,60,55,405
257,バシャーモ,80,120,70,110,70,80,530
258,ミズゴロウ,50,70,50,50,50,40,310
259,ヌマクロー,70,85,70,60,70,50,405
260,ラグラージ,100,110,90,85,90,60,535
263,ジグザグマ,38,30,41,30,41,60,240
263,ジグザグマ(ガラルのすがた),38,30,41,30,41,60,240
264,マッスグマ,78,70,61,50,61,100,420
264,マッスグマ(ガラルのすがた),78,70,61,50,61,100,420
270,ハスボー,40,30,30,40,50,30,220
271,ハスブレロ,60,50,50,60,70,50,340
272,ルンパッパ,80,70,70,90,100,70,480
273,タネボー,40,40,50,30,30,30,220
274,コノハナ,70,70,40,60,40,60,340
275,ダーテング,90,100,60,90,60,80,480
278,キャモメ,40,30,30,55,30,85,270
279,ペリッパー,60,50,100,95,70,65,440
280,ラルトス,28,25,25,45,35,40,198
281,キルリア,38,35,35,65,55,50,278
282,サーナイト,68,65,65,125,115,80,518
290,ツチニン,31,45,90,30,30,40,266
291,テッカニン,61,90,45,50,50,160,456
292,ヌケニン,1,90,45,30,30,40,236
293,ゴニョニョ,64,51,23,51,23,28,240
294,ドゴーム,84,71,43,71,43,48,360
295,バクオング,104,91,63,91,73,68,490
298,ルリリ,50,20,40,20,40,20,190
302,ヤミラミ,50,75,75,65,65,50,380
303,クチート,50,85,85,55,55,50,380
304,ココドラ,50,70,100,40,40,30,330
305,コドラ,60,90,140,50,50,40,430
306,ボスゴドラ,70,110,180,60,60,50,530
309,ラクライ,40,45,40,65,40,65,295
310,ライボルト,70,75,60,105,60,105,475
315,ロゼリア,50,60,45,100,80,65,400
318,キバニア,45,90,20,65,20,65,305
319,サメハダー,70,120,40,95,40,95,460
320,ホエルコ,130,70,35,70,35,60,400
321,ホエルオー,170,90,45,90,45,60,500
324,コータス,70,85,140,85,70,20,470
328,ナックラー,45,100,45,45,45,10,290
329,ビブラーバ,50,70,50,50,50,70,340
330,フライゴン,80,100,80,80,80,100,520
333,チルット,45,40,60,40,75,50,310
334,チルタリス,75,70,90,70,105,80,490
337,ルナトーン,90,55,65,95,85,70,460
338,ソルロック,90,95,85,55,65,70,460
339,ドジョッチ,50,48,43,46,41,60,288
340,ナマズン,110,78,73,76,71,60,468
341,ヘイガニ,43,80,65,50,35,35,308
342,シザリガー,63,120,85,90,55,55,468
343,ヤジロン,40,40,55,40,70,55,300
344,ネンドール,60,70,105,70,120,75,500
345,リリーラ,66,41,77,61,87,23,355
346,ユレイドル,86,81,97,81,107,43,495
347,アノプス,45,95,50,40,50,75,355
348,アーマルド,75,125,100,70,80,45,495
349,ヒンバス,20,15,20,10,55,80,200
350,ミロカロス,95,60,79,100,125,81,540
355,ヨマワル,20,40,90,30,90,25,295
356,サマヨール,40,70,130,60,130,25,455
359,アブソル,65,130,60,75,60,75,465
360,ソーナノ,95,23,48,23,48,23,260
361,ユキワラシ,50,50,50,50,50,50,300
362,オニゴーリ,80,80,80,80,80,80,480
363,タマザラシ,70,40,50,55,50,25,290
364,トドグラー,90,60,70,75,70,45,410
365,トドゼルガ,110,80,90,95,90,65,530
369,ジーランス,100,90,130,45,65,55,485
371,タツベイ,45,75,60,40,30,50,300
372,コモルー,65,95,100,60,50,50,420
373,ボーマンダ,95,135,80,110,80,100,600
374,ダンバル,40,55,80,35,60,30,300
375,メタング,60,75,100,55,80,50,420
376,メタグロス,80,135,130,95,90,70,600
377,レジロック,80,100,200,50,100,50,580
378,レジアイス,80,50,100,100,200,50,580
379,レジスチル,80,75,150,75,150,50,580
380,ラティアス,80,80,90,110,130,110,600
381,ラティオス,80,90,80,130,110,110,600
382,カイオーガ,100,100,90,150,140,90,670
383,グラードン,100,150,140,100,90,90,670
384,レックウザ,105,150,90,150,90,95,680
385,ジラーチ,100,100,100,100,100,100,600
403,コリンク,45,65,34,40,34,45,263
404,ルクシオ,60,85,49,60,49,60,363
405,レントラー,80,120,79,95,79,70,523
406,スボミー,40,30,35,50,70,55,280
407,ロズレイド,60,70,65,125,105,90,515
415,ミツハニー,30,30,42,30,42,70,244
416,ビークイン,70,80,102,80,102,40,474
420,チェリンボ,45,35,45,62,53,35,275
421,チェリム,70,60,70,87,78,85,450
422,カラナクシ,76,48,48,57,62,34,325
423,トリトドン,111,83,68,92,82,39,475
425,フワンテ,90,50,34,60,44,70,348
426,フワライド,150,80,44,90,54,80,498
427,ミミロル,55,66,44,44,56,85,350
428,ミミロップ,65,76,84,54,96,105,480
434,スカンプー,63,63,47,41,41,74,329
435,スカタンク,103,93,67,71,61,84,479
436,ドーミラー,57,24,86,24,86,23,300
437,ドータクン,67,89,116,79,116,33,500
438,ウソハチ,50,80,95,10,45,10,290
439,マネネ,20,25,45,70,90,60,310
440,ピンプク,100,5,5,15,65,30,220
442,ミカルゲ,50,92,108,92,108,35,485
443,フカマル,58,70,45,40,45,42,300
444,ガバイト,68,90,65,50,55,82,410
445,ガブリアス,108,130,95,80,85,102,600
446,ゴンベ,135,85,40,40,85,5,390
447,リオル,40,70,40,35,40,60,285
448,ルカリオ,70,110,70,115,70,90,525
449,ヒポポタス,68,72,78,38,42,32,330
450,カバルドン,108,112,118,68,72,47,525
451,スコルピ,40,50,90,30,55,65,330
452,ドラピオン,70,90,110,60,75,95,500
453,グレッグル,48,61,40,61,40,50,300
454,ドクロッグ,83,106,65,86,65,85,490
458,タマンタ,45,20,50,60,120,50,345
459,ユキカブリ,60,62,50,62,60,40,334
460,ユキノオー,90,92,75,92,85,60,494
461,マニューラ,70,120,65,45,85,125,510
462,ジバコイル,70,70,115,130,90,60,535
463,ベロベルト,110,85,95,80,95,50,515
464,ドサイドン,115,140,130,55,55,40,535
465,モジャンボ,100,100,125,110,50,50,535
466,エレキブル,75,123,67,95,85,95,540
467,ブーバーン,75,95,67,125,95,83,540
468,トゲキッス,85,50,95,120,115,80,545
470,リーフィア,65,110,130,60,65,95,525
471,グレイシア,65,60,110,130,95,65,525
473,マンムー,110,130,80,70,60,80,530
474,ポリゴンZ,85,80,70,135,75,90,535
475,エルレイド,68,125,65,65,115,80,518
477,ヨノワール,45,100,135,65,135,45,525
478,ユキメノコ,70,80,70,80,70,110,480
479,ロトム,50,50,77,95,77,91,440
479,ロトム(ヒートロトム),50,65,107,105,107,86,520
479,ロトム(ウォッシュロトム),50,65,107,105,107,86,520
479,ロトム(フロストロトム),50,65,107,105,107,86,520
479,ロトム(スピンロトム),50,65,107,105,107,86,520
479,ロトム(カットロトム),50,65,107,105,107,86,520
480,ユクシー,75,75,130,75,130,95,580
481,エムリット,80,105,105,105,105,80,580
482,アグノム,75,125,70,125,70,115,580
483,ディアルガ,100,120,120,150,100,90,680
484,パルキア,90,120,100,150,120,100,680
485,ヒードラン,91,90,106,130,106,77,600
486,レジギガス,110,160,110,80,110,100,670
487,ギラティナ(アナザーフォルム),150,100,120,100,120,90,680
487,ギラティナ(オリジンフォルム),150,120,100,120,100,90,680
488,クレセリア,120,70,120,75,130,85,600
494,ビクティニ,100,100,100,100,100,100,600
506,ヨーテリー,45,60,45,25,45,55,275
507,ハーデリア,65,80,65,35,65,60,370
508,ムーランド,85,110,90,45,90,80,500
509,チョロネコ,41,50,37,50,37,66,281
510,レパルダス,64,88,50,88,50,106,446
517,ムンナ,76,25,45,67,55,24,292
518,ムシャーナ,116,55,85,107,95,29,487
519,マメパト,50,55,50,36,30,43,264
520,ハトーボー,62,77,62,50,42,65,358
521,ケンホロウ,80,115,80,65,55,93,488
524,ダンゴロ,55,75,85,25,25,15,280
525,ガントル,70,105,105,50,40,20,390
526,ギガイアス,85,135,130,60,80,25,515
527,コロモリ,65,45,43,55,43,72,323
528,ココロモリ,67,57,55,77,55,114,425
529,モグリュー,60,85,40,30,45,68,328
530,ドリュウズ,110,135,60,50,65,88,508
531,タブンネ,103,60,86,60,86,50,445
532,ドッコラー,75,80,55,25,35,35,305
533,ドテッコツ,85,105,85,40,50,40,405
534,ローブシン,105,140,95,55,65,45,505
535,オタマロ,50,50,40,50,40,64,294
536,ガマガル,75,65,55,65,55,69,384
537,ガマゲロゲ,105,95,75,85,75,74,509
538,ナゲキ,120,100,85,30,85,45,465
539,ダゲキ,75,125,75,30,75,85,465
543,フシデ,30,45,59,30,39,57,260
544,ホイーガ,40,55,99,40,79,47,360
545,ペンドラー,60,100,89,55,69,112,485
546,モンメン,40,27,60,37,50,66,280
547,エルフーン,60,67,85,77,75,116,480
548,チュリネ,45,35,50,70,50,30,280
549,ドレディア,70,60,75,110,75,90,480
550,バスラオ,70,92,65,80,55,98,460
551,メグロコ,50,72,35,35,35,65,292
552,ワルビル,60,82,45,45,45,74,351
553,ワルビアル,95,117,80,65,70,92,519
554,ダルマッカ,70,90,45,15,45,50,315
554,ダルマッカ(ガラルのすがた),70,90,45,15,45,50,315
555,ヒヒダルマ,105,140,55,30,55,95,480
555,ヒヒダルマ(ダルマモード),105,30,105,140,105,55,540
555,ヒヒダルマ(ガラルのすがた),105,140,55,30,55,95,480
555,ヒヒダルマ(ダルマモード(ガラルのすがた)),105,160,55,30,55,135,540
556,マラカッチ,75,86,67,106,67,60,461
557,イシズマイ,50,65,85,35,35,55,325
558,イワパレス,70,105,125,65,75,45,485
559,ズルッグ,50,75,70,35,70,48,348
560,ズルズキン,65,90,115,45,115,58,488
561,シンボラー,72,58,80,103,80,97,490
562,デスマス,38,30,85,55,65,30,303
562,デスマス(ガラルのすがた),38,55,85,30,65,30,303
563,デスカーン,58,50,145,95,105,30,483
564,プロトーガ,54,78,103,53,45,22,355
565,アバゴーラ,74,108,133,83,65,32,495
566,アーケン,55,112,45,74,45,70,401
567,アーケオス,75,140,65,112,65,110,567
568,ヤブクロン,50,50,62,40,62,65,329
569,ダストダス,80,95,82,60,82,75,474
570,ゾロア,40,65,40,80,40,65,330
571,ゾロアーク,60,105,60,120,60,105,510
572,チラーミィ,55,50,40,40,40,75,300
573,チラチーノ,75,95,60,65,60,115,470
574,ゴチム,45,30,50,55,65,45,290
575,ゴチミル,60,45,70,75,85,55,390
576,ゴチルゼル,70,55,95,95,110,65,490
577,ユニラン,45,30,40,105,50,20,290
578,ダブラン,65,40,50,125,60,30,370
579,ランクルス,110,65,75,125,85,30,490
582,バニプッチ,36,50,50,65,60,44,305
583,バニリッチ,51,65,65,80,75,59,395
584,バイバニラ,71,95,85,110,95,79,535
587,エモンガ,55,75,60,75,60,103,428
588,カブルモ,50,75,45,40,45,60,315
589,シュバルゴ,70,135,105,60,105,20,495
590,タマゲタケ,69,55,45,55,55,15,294
591,モロバレル,114,85,70,85,80,30,464
592,プルリル,55,40,50,65,85,40,335
593,ブルンゲル,100,60,70,85,105,60,480
595,バチュル,50,47,50,57,50,65,319
596,デンチュラ,70,77,60,97,60,108,472
597,テッシード,44,50,91,24,86,10,305
598,ナットレイ,74,94,131,54,116,20,489
599,ギアル,40,55,70,45,60,30,300
600,ギギアル,60,80,95,70,85,50,440
601,ギギギアル,60,100,115,70,85,90,520
605,リグレー,55,55,55,85,55,30,335
606,オーベム,75,75,75,125,95,40,485
607,ヒトモシ,50,30,55,65,55,20,275
608,ランプラー,60,40,60,95,60,55,370
609,シャンデラ,60,55,90,145,90,80,520
610,キバゴ,46,87,60,30,40,57,320
611,オノンド,66,117,70,40,50,67,410
612,オノノクス,76,147,90,60,70,97,540
613,クマシュン,55,70,40,60,40,40,305
614,ツンベアー,95,130,80,70,80,50,505
615,フリージオ,80,50,50,95,135,105,515
616,チョボマキ,50,40,85,40,65,25,305
617,アギルダー,80,70,40,100,60,145,495
618,マッギョ,109,66,84,81,99,32,471
618,マッギョ(ガラルのすがた),109,81,99,66,84,32,471
619,コジョフー,45,85,50,55,50,65,350
620,コジョンド,65,125,60,95,60,105,510
621,クリムガン,77,120,90,60,90,48,485
622,ゴビット,59,74,50,35,50,35,303
623,ゴルーグ,89,124,80,55,80,55,483
624,コマタナ,45,85,70,40,40,60,340
625,キリキザン,65,125,100,60,70,70,490
626,バッフロン,95,110,95,40,95,55,490
627,ワシボン,70,83,50,37,50,60,350
628,ウォーグル,100,123,75,57,75,80,510
629,バルチャイ,70,55,75,45,65,60,370
630,バルジーナ,110,65,105,55,95,80,510
631,クイタラン,85,97,66,105,66,65,484
632,アイアント,58,109,112,48,48,109,484
633,モノズ,52,65,50,45,50,38,300
634,ジヘッド,72,85,70,65,70,58,420
635,サザンドラ,92,105,90,125,90,98,600
636,メラルバ,55,85,55,50,55,60,360
637,ウルガモス,85,60,65,135,105,100,550
638,コバルオン,91,90,129,90,72,108,580
639,テラキオン,91,129,90,72,90,108,580
640,ビリジオン,91,90,72,90,129,108,580
641,トルネロス(けしんフォルム),79,115,70,125,80,111,580
641,トルネロス(れいじゅうフォルム),79,100,80,110,90,121,580
642,ボルトロス(けしんフォルム),79,115,70,125,80,111,580
642,ボルトロス(れいじゅうフォルム),79,105,70,145,80,101,580
643,レシラム,100,120,100,150,120,90,680
644,ゼクロム,100,150,120,120,100,90,680
645,ランドロス(けしんフォルム),89,125,90,115,80,101,600
645,ランドロス(れいじゅうフォルム),89,145,90,105,80,91,600
646,キュレム,125,130,90,130,90,95,660
646,キュレム(ホワイトキュレム),125,120,90,170,100,95,700
646,キュレム(ブラックキュレム),125,170,100,120,90,95,700
647,ケルディオ(いつものすがた),91,72,90,129,90,108,580
647,ケルディオ(かくごのすがた),91,72,90,129,90,108,580
649,ゲノセクト,71,120,95,120,95,99,600
659,ホルビー,38,36,38,32,36,57,237
660,ホルード,85,56,77,50,77,78,423
661,ヤヤコマ,45,50,43,40,38,62,278
662,ヒノヤコマ,62,73,55,56,52,84,382
663,ファイアロー,78,81,71,74,69,126,499
674,ヤンチャム,67,82,62,46,48,43,348
675,ゴロンダ,95,124,78,69,71,58,495
677,ニャスパー,62,48,54,63,60,68,355
678,ニャオニクス(オスの姿),74,48,76,83,81,104,466
678,ニャオニクス(メスの姿),74,48,76,83,81,104,466
679,ヒトツキ,45,80,100,35,37,28,325
680,ニダンギル,59,110,150,45,49,35,448
681,ギルガルド(シールドフォルム),60,50,140,50,140,60,500
681,ギルガルド(ブレードフォルム),60,140,50,140,50,60,500
682,シュシュプ,78,52,60,63,65,23,341
683,フレフワン,101,72,72,99,89,29,462
684,ペロッパフ,62,48,66,59,57,49,341
685,ペロリーム,82,80,86,85,75,72,480
686,マーイーカ,53,54,53,37,46,45,288
687,カラマネロ,86,92,88,68,75,73,482
688,カメテテ,42,52,67,39,56,50,306
689,ガメノデス,72,105,115,54,86,68,500
690,クズモー,50,60,60,60,60,30,320
691,ドラミドロ,65,75,90,97,123,44,494
692,ウデッポウ,50,53,62,58,63,44,330
693,ブロスター,71,73,88,120,89,59,500
694,エリキテル,44,38,33,61,43,70,289
695,エレザード,62,55,52,109,94,109,481
696,チゴラス,58,89,77,45,45,48,362
697,ガチゴラス,82,121,119,69,59,71,521
698,アマルス,77,59,50,67,63,46,362
699,アマルルガ,123,77,72,99,92,58,521
700,ニンフィア,95,65,65,110,130,60,525
701,ルチャブル,78,92,75,74,63,118,500
702,デデンネ,67,58,57,81,67,101,431
703,メレシー,50,50,150,50,150,50,500
704,ヌメラ,45,50,35,55,75,40,300
705,ヌメイル,68,75,53,83,113,60,452
706,ヌメルゴン,90,100,70,110,150,80,600
707,クレッフィ,57,80,91,80,87,75,470
708,ボクレー,43,70,48,50,60,38,309
709,オーロット,85,110,76,65,82,56,474
710,バケッチャ(ふつうのサイズ),49,66,70,44,55,51,335
710,バケッチャ(ちいさいサイズ),44,66,70,44,55,56,335
710,バケッチャ(おおきいサイズ),54,66,70,44,55,46,335
710,バケッチャ(とくだいサイズ),59,66,70,44,55,41,335
711,パンプジン(ふつうのサイズ),65,90,122,58,75,84,494
711,パンプジン(ちいさいサイズ),55,85,122,58,75,99,494
711,パンプジン(おおきいサイズ),75,95,122,58,75,69,494
711,パンプジン(とくだいサイズ),85,100,122,58,75,54,494
712,カチコール,55,69,85,32,35,28,304
713,クレベース,95,117,184,44,46,28,514
714,オンバット,40,30,35,45,40,55,245
715,オンバーン,85,70,80,97,80,123,535
716,ゼルネアス,126,131,95,131,98,99,680
717,イベルタル,126,131,95,131,98,99,680
718,ジガルデ(50%フォルム),108,100,121,81,95,95,600
718,ジガルデ(10%フォルム),54,100,71,61,85,115,486
718,ジガルデ(パーフェクトフォルム),216,100,121,91,95,85,708
719,ディアンシー,50,100,150,100,150,50,600
721,ボルケニオン,80,110,120,130,90,70,600
722,モクロー,68,55,55,50,50,42,320
723,フクスロー,78,75,75,70,70,52,420
724,ジュナイパー,78,107,75,100,100,70,530
725,ニャビー,45,65,40,60,40,70,320
726,ニャヒート,65,85,50,80,50,90,420
727,ガオガエン,95,115,90,80,90,60,530
728,アシマリ,50,54,54,66,56,40,320
729,オシャマリ,60,69,69,91,81,50,420
730,アシレーヌ,80,74,74,126,116,60,530
736,アゴジムシ,47,62,45,55,45,46,300
737,デンヂムシ,57,82,95,55,75,36,400
738,クワガノン,77,70,90,145,75,43,500
742,アブリー,40,45,40,55,40,84,304
743,アブリボン,60,55,60,95,70,124,464
744,イワンコ,45,65,40,30,40,60,280
745,ルガルガン(まひる),75,115,65,55,65,112,487
745,ルガルガン(まよなか),85,115,75,55,75,82,487
745,ルガルガン(たそがれ),75,117,65,55,65,110,487
746,ヨワシ(たんどく),45,20,20,25,25,40,175
746,ヨワシ(むれ),45,140,130,140,135,30,620
747,ヒドイデ,50,53,62,43,52,45,305
748,ドヒドイデ,50,63,152,53,142,35,495
749,ドロバンコ,70,100,70,45,55,45,385
750,バンバドロ,100,125,100,55,85,35,500
751,シズクモ,38,40,52,40,72,27,269
752,オニシズクモ,68,70,92,50,132,42,454
753,カリキリ,40,55,35,50,35,35,250
754,ラランテス,70,105,90,80,90,45,480
755,ネマシュ,40,35,55,65,75,15,285
756,マシェード,60,45,80,90,100,30,405
757,ヤトウモリ,48,44,40,71,40,77,320
758,エンニュート,68,64,60,111,60,117,480
759,ヌイコグマ,70,75,50,45,50,50,340
760,キテルグマ,120,125,80,55,60,60,500
761,アマカジ,42,30,38,30,38,32,210
762,アママイコ,52,40,48,40,48,62,290
763,アマージョ,72,120,98,50,98,72,510
764,キュワワー,51,52,90,82,110,100,485
765,ヤレユータン,90,60,80,90,110,60,490
766,ナゲツケサル,100,120,90,40,60,80,490
767,コソクムシ,25,35,40,20,30,80,230
768,グソクムシャ,75,125,140,60,90,40,530
769,スナバァ,55,55,80,70,45,15,320
770,シロデスナ,85,75,110,100,75,35,480
